first name,last name,current date,designation,age,salery,unit,leaves used,leaves remaining,ratings,past exp,gender
TOMASA,ARMEN,01-07-2016,Analyst,21,44570,Finance,24,6,2,0,female
ANNIE,,01-07-2016,Associate,,89207,Web,35,13,2,7,male
OLIVE,ANCY,01-07-2016,Analyst,21,40955,Finance,23,7,3,0,male
CHERRY,AQUILAR,01-07-2016,Analyst,22,45550,IT,22,8,3,0,male
LEON,ABOULAHOUD,01-07-2016,Analyst,,43161,Operations,27,3,5,3,male
VICTORIA,,01-07-2016,Analyst,22,48736,Marketing,20,10,4,0,female
ELLIOT,AGULAR,01-07-2016,Analyst,22,40339,Marketing,19,11,5,0,female
JACQUES,AKMAL,01-07-2016,Analyst,,40058,Marketing,29,1,2,2,female
KATHY,ALSOP,01-07-2016,Senior Analyst,28,63478,Operations,20,10,3,1,male
LILIAN,APELA,01-07-2016,Analyst,22,43110,Finance,15,15,3,0,female
BELLE,ARDS,01-07-2016,Analyst,24,41590,Marketing,22,8,4,1,male
VIRGIL,ACKIES,01-07-2016,Senior Manager,36,160613,Finance,67,11,2,9,female
WELDON,AIVAO,01-07-2016,Analyst,24,44828,Finance,15,15,5,1,male
BOYD,AFTON,01-07-2016,Analyst,21,45830,Web,23,7,2,0,female
BART,AGUILLERA,01-07-2016,Analyst,24,43457,Management,30,0,4,1,male
CORINNE,ANDRZEJCZYK,01-07-2016,Analyst,21,44812,IT,16,32,5,0,male
ALONZO,ADSIDE,01-07-2016,Analyst,25,47636,Finance,27,3,3,2,female
ROYCE,AGOSTO,01-07-2016,Analyst,24,48651,Web,27,3,5,1,male
BURTON,AGUILER,01-07-2016,Analyst,23,40411,Management,21,9,3,0,male
PHILLIP,ABDULA,01-07-2016,Analyst,24,44665,Web,22,12,5,0,male
ORVILLE,ADNEY,01-07-2016,Analyst,25,46941,Marketing,23,7,3,1,female
KORY,ALEGRIA,01-07-2016,Analyst,22,47734,Marketing,28,2,5,0,female
NETTIE,ANDRADA,01-07-2016,Analyst,23,40541,Operations,15,15,5,1,male
WENDI,APPERT,01-07-2016,Analyst,25,43920,Web,28,,2,2,female
BRENT,ABRIL,01-07-2016,Analyst,21,45832,Management,28,2,2,0,male
HARRIETTE,ARMSTRONG,01-07-2016,Analyst,23,48102,Marketing,17,13,2,0,female
GARLAND,AGLER,01-07-2016,Analyst,21,48662,Management,30,0,5,0,female
